user_id,date,mean_hold,std_flight,min_dd,max_dd,mean_speed,max_speed,speed_std,idle_time,click_rate,path_length,duration,total_screen_time,num_sessions,num_breaks,num_night_sessions,avg_session_duration,night_ratio,emotion,voice_score
U001,2025-07-01,0.144,0.116,0.019,0.153,730.8,350.8,610.1,1.09,1.11,944.5,13.7,421.9,17,5,2,22.2,0.12,FEA,4.54
U001,2025-07-02,0.288,0.123,0.096,0.085,1039.0,593.4,294.1,15.52,1.59,273.0,99.2,324.4,17,12,1,18.0,0.06,NEU,5.15
U001,2025-07-03,0.233,0.013,0.064,0.216,366.1,1740.2,551.2,12.27,1.47,3513.1,24.2,296.0,11,1,0,26.9,0.0,SAD,6.01
U001,2025-07-04,0.2,0.145,0.076,0.181,1063.9,2065.0,587.7,1.39,0.41,671.9,89.4,216.7,6,5,0,36.1,0.0,FEA,4.77
U001,2025-07-05,0.089,0.112,0.038,0.21,120.9,2474.0,485.9,10.17,1.26,754.1,19.1,266.6,3,3,4,38.1,1.33,NEU,4.85
U001,2025-07-06,0.089,0.053,0.045,0.134,905.7,1062.0,769.0,1.65,1.94,3774.5,51.3,248.9,14,4,3,14.6,0.21,ANG,1.6
U001,2025-07-07,0.065,0.126,0.031,0.277,1126.4,1618.6,66.1,14.72,0.48,1498.6,16.9,408.9,6,14,3,45.4,0.5,SAD,6.36
U001,2025-07-08,0.267,0.049,0.019,0.197,822.9,2361.7,604.0,10.93,1.74,3217.4,67.4,122.6,17,6,0,7.2,0.0,SAD,6.32
U001,2025-07-09,0.2,0.132,0.026,0.071,582.9,667.5,769.1,19.07,1.46,4603.6,81.8,110.0,3,6,3,18.3,1.0,ANG,2.84
U001,2025-07-10,0.227,0.026,0.082,0.162,149.4,1878.8,696.7,3.66,1.59,1719.1,28.9,416.4,17,5,4,19.8,0.24,DIS,5.76
U001,2025-07-11,0.055,0.109,0.071,0.239,1112.1,1961.0,175.9,12.12,0.71,1242.3,50.9,355.0,19,9,0,18.7,0.0,SAD,6.27
